Sample Number: 0
x[0] = 0.55061 | u[0] = 0.07395
x[1] = 0.70754 | u[1] = 0.22196
x[2] = 0.29128 | u[2] = -0.15158
x[3] = 0.51068 | u[3] = 0.04958
x[4] = 0.89191 | u[4] = 0.39555
x[5] = 0.89532 | u[5] = 0.38935
x[6] = 0.12634 | u[6] = -0.29564
x[7] = 0.20779 | u[7] = -0.23367
x[8] = 0.05243 | u[8] = -0.37087
x[9] = 0.44088 | u[9] = -0.03273
Sample Number: 10
x[0] = 0.54878 | u[0] = 0.07244
x[1] = 0.70204 | u[1] = 0.21700
x[2] = 0.29504 | u[2] = -0.14821
x[3] = 0.50945 | u[3] = 0.04840
x[4] = 0.88211 | u[4] = 0.38659
x[5] = 0.88567 | u[5] = 0.38067
x[6] = 0.13367 | u[6] = -0.28910
x[7] = 0.21358 | u[7] = -0.22831
x[8] = 0.06162 | u[8] = -0.36253
x[9] = 0.44169 | u[9] = -0.03180
Sample Number: 20
x[0] = 0.54698 | u[0] = 0.07096
x[1] = 0.69666 | u[1] = 0.21215
x[2] = 0.29871 | u[2] = -0.14492
x[3] = 0.50825 | u[3] = 0.04726
x[4] = 0.87253 | u[4] = 0.37783
x[5] = 0.87624 | u[5] = 0.37217
x[6] = 0.14084 | u[6] = -0.28270
x[7] = 0.21923 | u[7] = -0.22307
x[8] = 0.07061 | u[8] = -0.35439
x[9] = 0.44248 | u[9] = -0.03090
Sample Number: 30
x[0] = 0.54522 | u[0] = 0.06950
x[1] = 0.69141 | u[1] = 0.20741
x[2] = 0.30230 | u[2] = -0.14170
x[3] = 0.50708 | u[3] = 0.04614
x[4] = 0.86316 | u[4] = 0.36927
x[5] = 0.86702 | u[5] = 0.36387
x[6] = 0.14784 | u[6] = -0.27645
x[7] = 0.22476 | u[7] = -0.21796
x[8] = 0.07939 | u[8] = -0.34642
x[9] = 0.44324 | u[9] = -0.03003
Sample Number: 40
x[0] = 0.54350 | u[0] = 0.06808
x[1] = 0.68627 | u[1] = 0.20277
x[2] = 0.30581 | u[2] = -0.13855
x[3] = 0.50594 | u[3] = 0.04504
x[4] = 0.85401 | u[4] = 0.36090
x[5] = 0.85800 | u[5] = 0.35575
x[6] = 0.15470 | u[6] = -0.27034
x[7] = 0.23016 | u[7] = -0.21295
x[8] = 0.08797 | u[8] = -0.33864
x[9] = 0.44398 | u[9] = -0.02917
Sample Number: 50
x[0] = 0.54181 | u[0] = 0.06669
x[1] = 0.68124 | u[1] = 0.19824
x[2] = 0.30925 | u[2] = -0.13546
x[3] = 0.50482 | u[3] = 0.04398
x[4] = 0.84507 | u[4] = 0.35272
x[5] = 0.84918 | u[5] = 0.34781
x[6] = 0.16140 | u[6] = -0.26436
x[7] = 0.23543 | u[7] = -0.20807
x[8] = 0.09636 | u[8] = -0.33103
x[9] = 0.44470 | u[9] = -0.02834
Sample Number: 60
x[0] = 0.54015 | u[0] = 0.06533
x[1] = 0.67633 | u[1] = 0.19381
x[2] = 0.31261 | u[2] = -0.13245
x[3] = 0.50373 | u[3] = 0.04293
x[4] = 0.83633 | u[4] = 0.34473
x[5] = 0.84056 | u[5] = 0.34005
x[6] = 0.16795 | u[6] = -0.25851
x[7] = 0.24059 | u[7] = -0.20329
x[8] = 0.10457 | u[8] = -0.32358
x[9] = 0.44540 | u[9] = -0.02754
Sample Number: 70
x[0] = 0.53853 | u[0] = 0.06399
x[1] = 0.67152 | u[1] = 0.18949
x[2] = 0.31589 | u[2] = -0.12950
x[3] = 0.50267 | u[3] = 0.04192
x[4] = 0.82779 | u[4] = 0.33692
x[5] = 0.83213 | u[5] = 0.33247
x[6] = 0.17436 | u[6] = -0.25279
x[7] = 0.24563 | u[7] = -0.19863
x[8] = 0.11259 | u[8] = -0.31631
x[9] = 0.44608 | u[9] = -0.02675
Sample Number: 80
x[0] = 0.53695 | u[0] = 0.06269
x[1] = 0.66683 | u[1] = 0.18525
x[2] = 0.31910 | u[2] = -0.12662
x[3] = 0.50163 | u[3] = 0.04093
x[4] = 0.81944 | u[4] = 0.32929
x[5] = 0.82389 | u[5] = 0.32505
