Sample Number: 0
x[0] = 0.55110 | u[0] = -0.12136
x[1] = 0.70698 | u[1] = 0.44598
x[2] = 0.29133 | u[2] = -0.16975
x[3] = 0.51093 | u[3] = -0.05153
x[4] = 0.89084 | u[4] = 0.82280
x[5] = 0.89791 | u[5] = -0.64077
x[6] = 0.12549 | u[6] = 0.04500
x[7] = 0.20657 | u[7] = 0.24941
x[8] = 0.05359 | u[8] = -0.83411
x[9] = 0.44076 | u[9] = 0.01443
x[10] = 0.02996 | u[10] = -0.02275
x[11] = 0.45606 | u[11] = 0.29378
x[12] = 0.65022 | u[12] = -0.44524
x[13] = 0.27875 | u[13] = -0.09917
x[14] = 0.67589 | u[14] = 0.16289
x[15] = 0.58921 | u[15] = 0.67195
x[16] = 0.02566 | u[16] = -0.66133
x[17] = 0.55933 | u[17] = -0.17215
x[18] = 0.25900 | u[18] = 0.11978
x[19] = 0.41651 | u[19] = -0.56134
Sample Number: 10
x[0] = 0.55296 | u[0] = -0.03013
x[1] = 0.69691 | u[1] = 0.36114
x[2] = 0.29547 | u[2] = -0.16126
x[3] = 0.51163 | u[3] = -0.00578
x[4] = 0.87223 | u[4] = 0.66778
x[5] = 0.90900 | u[5] = -0.25939
x[6] = 0.12586 | u[6] = -0.07038
x[7] = 0.20264 | u[7] = 0.07183
x[8] = 0.07228 | u[8] = -0.66246
x[9] = 0.44030 | u[9] = 0.02255
x[10] = 0.03213 | u[10] = -0.14574
x[11] = 0.44995 | u[11] = 0.19735
x[12] = 0.65829 | u[12] = -0.20789
x[13] = 0.28183 | u[13] = -0.14502
x[14] = 0.67166 | u[14] = 0.17405
x[15] = 0.57498 | u[15] = 0.47108
x[16] = 0.04078 | u[16] = -0.54873
x[17] = 0.56232 | u[17] = -0.06998
x[18] = 0.25752 | u[18] = 0.00245
x[19] = 0.42762 | u[19] = -0.33322
Sample Number: 20
x[0] = 0.55198 | u[0] = 0.10328
x[1] = 0.68938 | u[1] = 0.24438
x[2] = 0.29938 | u[2] = -0.15076
x[3] = 0.51088 | u[3] = 0.06388
x[4] = 0.85826 | u[4] = 0.45531
x[5] = 0.90837 | u[5] = 0.28806
x[6] = 0.12980 | u[6] = -0.23722
x[7] = 0.20414 | u[7] = -0.18165
x[8] = 0.08572 | u[8] = -0.41866
x[9] = 0.43954 | u[9] = 0.03857
x[10] = 0.03811 | u[10] = -0.32425
x[11] = 0.44680 | u[11] = 0.05980
x[12] = 0.65905 | u[12] = 0.13360
x[13] = 0.28637 | u[13] = -0.21426
x[14] = 0.66708 | u[14] = 0.18999
x[15] = 0.56688 | u[15] = 0.18684
x[16] = 0.05248 | u[16] = -0.39076
x[17] = 0.56213 | u[17] = 0.07994
x[18] = 0.25969 | u[18] = -0.16849
x[19] = 0.43168 | u[19] = -0.00348
Sample Number: 30
x[0] = 0.54892 | u[0] = 0.12087
x[1] = 0.68374 | u[1] = 0.22178
x[2] = 0.30308 | u[2] = -0.14583
x[3] = 0.50905 | u[3] = 0.07147
x[4] = 0.84774 | u[4] = 0.41322
